,Neighborhood,Population,Count,Weight,Score
0,Allegheny Center,933,18.0,0.01929260450160772,0.7307073954983924
1,Allegheny West,462,1.0,0.0021645021645021645,0.08198051948051947
2,Allentown,2500,2.0,0.0008,0.0303
3,Arlington,1869,0.0,0.0,0.0
4,Arlington Heights,244,0.0,0.0,0.0
5,Banksville,4144,0.0,0.0,0.0
6,Bedford Dwellings,1202,0.0,0.0,0.0
7,Beechview,7974,7.0,0.0008778530223225483,0.033248683220466514
8,Beltzhoover,1925,3.0,0.0015584415584415584,0.05902597402597402
9,Bloomfield,8442,1.0,0.00011845534233593936,0.004486496090973703
10,Bluff,6600,0.0,0.0,0.0
11,Bon Air,808,0.0,0.0,0.0
12,Brighton Heights,7247,5.0,0.0006899406651028012,0.026131502690768593
13,Brookline,13214,2.0,0.00015135462388375965,0.005732556379597397
14,California-Kirkbride,761,0.0,0.0,0.0
15,Carrick,10113,2.0,0.00019776525264511026,0.007490358943933551
16,Central Business District,3629,26.0,0.0071645081289611464,0.27135574538440344
17,Central Lawrenceville,4482,2.0,0.0004462293618920125,0.016900937081659972
18,Central Northside,2923,0.0,0.0,0.0
19,Central Oakland,6086,5.0,0.000821557673348669,0.031116496878080838
20,Chartiers City,477,0.0,0.0,0.0
21,Chateau,11,0.0,0.0,0.0
22,Crafton Heights,3814,0.0,0.0,0.0
23,Crawford-Roberts,2256,3.0,0.0013297872340425532,0.0503656914893617
24,Duquesne Heights,2425,1.0,0.0004123711340206186,0.015618556701030928
25,East Allegheny,2136,2.0,0.0009363295880149813,0.03546348314606742
26,East Carnegie,570,1.0,0.0017543859649122807,0.06644736842105263
27,East Hills,3169,1.0,0.0003155569580309246,0.01195171978542127
28,East Liberty,5869,1.0,0.0001703867779860283,0.006453399216220822
29,Elliott,2381,3.0,0.00125997480050399,0.04772154556908862
30,Esplen,301,0.0,0.0,0.0
31,Fairywood,1002,0.0,0.0,0.0
32,Fineview,1285,0.0,0.0,0.0
33,Friendship,1785,0.0,0.0,0.0
34,Garfield,3675,1.0,0.00027210884353741496,0.010306122448979592
35,Glen Hazel,716,0.0,0.0,0.0
36,Greenfield,7294,3.0,0.0004112969564025226,0.015577872223745544
37,Hays,362,1.0,0.0027624309392265192,0.10462707182320441
38,Hazelwood,4317,3.0,0.0006949270326615705,0.026320361362056982
39,Highland Park,6395,10.0,0.001563721657544957,0.05922595777951525
40,Homewood North,3280,0.0,0.0,0.0
41,Homewood South,2344,0.0,0.0,0.0
42,Homewood West,818,0.0,0.0,0.0
43,Knoxville,3747,0.0,0.0,0.0
44,Larimer,1728,0.0,0.0,0.0
45,Lincoln Place,3227,0.0,0.0,0.0
46,Lincoln-Lemington-Belmar,4883,2.0,0.00040958427196395656,0.015513004300634854
47,Lower Lawrenceville,2341,5.0,0.0021358393848782574,0.080894916702264
48,Manchester,2130,0.0,0.0,0.0
49,Marshall-Shadeland,6043,0.0,0.0,0.0
50,Middle Hill,1707,0.0,0.0,0.0
51,Morningside,3346,0.0,0.0,0.0
52,Mount Washington,8799,2.0,0.00022729855665416524,0.008608932833276508
53,Mt. Oliver,509,0.0,0.0,0.0
54,New Homestead,990,0.0,0.0,0.0
55,North Oakland,10551,1.0,9.477774618519572e-05,0.003589707136764288
56,North Shore,303,8.0,0.026402640264026403,1.0
57,Northview Heights,1214,0.0,0.0,0.0
58,Oakwood,1027,1.0,0.0009737098344693282,0.036879259980525804
59,Overbrook,3644,1.0,0.00027442371020856203,0.010393798024149286
60,Perry North,4050,2.0,0.0004938271604938272,0.018703703703703705
61,Perry South,4145,1.0,0.00024125452352231604,0.00913751507840772
62,Point Breeze,5315,3.0,0.0005644402634054562,0.021378174976481656
63,Point Breeze North,2054,0.0,0.0,0.0
64,Polish Hill,1274,1.0,0.0007849293563579278,0.029729199372056515
65,Regent Square,928,1.0,0.0010775862068965517,0.04081357758620689
66,Ridgemont,483,0.0,0.0,0.0
67,Shadyside,13915,6.0,0.0004311893639956881,0.016331297161336685
68,Sheraden,5299,1.0,0.0001887148518588413,0.007147575014153614
69,South Oakland,2969,0.0,0.0,0.0
70,South Shore,19,0.0,0.0,0.0
71,South Side Flats,6597,7.0,0.0010610883735031075,0.0401887221464302
72,South Side Slopes,4423,2.0,0.0004521817770743839,0.01712638480669229
73,Spring Garden,884,1.0,0.0011312217194570137,0.04284502262443439
74,Spring Hill-City View,2648,4.0,0.0015105740181268882,0.057212990936555894
75,Squirrel Hill North,11363,2.0,0.00017600985655196692,0.006666373316905747
76,Squirrel Hill South,15110,20.0,0.0013236267372600927,0.05013236267372601
77,St. Clair,209,0.0,0.0,0.0
78,Stanton Heights,4601,1.0,0.00021734405564007825,0.008231906107367964
79,Strip District,616,2.0,0.003246753246753247,0.12297077922077923
80,Summer Hill,1051,0.0,0.0,0.0
81,Swisshelm Park,1361,1.0,0.0007347538574577516,0.02782880235121234
82,Terrace Village,3228,0.0,0.0,0.0
83,Troy Hill,2714,1.0,0.00036845983787767134,0.013955416359616802
84,Upper Hill,2057,2.0,0.0009722897423432182,0.03682547399124939
85,Upper Lawrenceville,2669,1.0,0.0003746721618583739,0.014190708130385912
86,West End,254,2.0,0.007874015748031496,0.2982283464566929
87,West Oakland,2604,0.0,0.0,0.0
88,Westwood,3066,0.0,0.0,0.0
89,Windgap,1369,0.0,0.0,0.0
