neighborhood,0
Polish Hill,0.037037037037037035
Manchester,0.037037037037037035
Hays,0.037037037037037035
North Oakland,0.037037037037037035
Oakwood,0.037037037037037035
Esplen,0.037037037037037035
Overbrook,0.037037037037037035
East Liberty,0.037037037037037035
East Hills,0.037037037037037035
East Carnegie,0.037037037037037035
Perry South,0.037037037037037035
Knoxville,0.037037037037037035
Upper Lawrenceville,0.037037037037037035
Regent Square,0.037037037037037035
Sheraden,0.037037037037037035
Stanton Heights,0.037037037037037035
Bloomfield,0.037037037037037035
Swisshelm Park,0.037037037037037035
Troy Hill,0.037037037037037035
Allegheny West,0.037037037037037035
Crafton Heights,0.037037037037037035
Perry North,0.07407407407407407
Spring Garden,0.07407407407407407
Squirrel Hill North,0.07407407407407407
Strip District,0.07407407407407407
Upper Hill,0.07407407407407407
Mount Washington,0.07407407407407407
Lincoln-Lemington-Belmar,0.07407407407407407
West End,0.07407407407407407
Central Lawrenceville,0.07407407407407407
Brookline,0.07407407407407407
Carrick,0.07407407407407407
Allentown,0.07407407407407407
Garfield,0.07407407407407407
East Allegheny,0.07407407407407407
South Side Slopes,0.1111111111111111
Crawford-Roberts,0.1111111111111111
Beltzhoover,0.1111111111111111
Duquesne Heights,0.1111111111111111
Elliott,0.1111111111111111
Greenfield,0.1111111111111111
Hazelwood,0.1111111111111111
Point Breeze,0.1111111111111111
Spring Hill-City View,0.14814814814814814
Brighton Heights,0.18518518518518517
Lower Lawrenceville,0.18518518518518517
Central Oakland,0.18518518518518517
Shadyside,0.2222222222222222
Beechview,0.25925925925925924
North Shore,0.2962962962962963
South Side Flats,0.3333333333333333
Highland Park,0.37037037037037035
Allegheny Center,0.6666666666666666
Squirrel Hill South,0.7407407407407407
Central Business District,1.0
